Treatment,Replicate,Temp,Time start,Time end,Total time (days),# at end,r
Start,1,12,5/15/2014,5/16/2014,1,1,-1.39
Start,2,12,5/15/2014,5/16/2014,1,3,-0.29
Start,3,12,5/15/2014,5/16/2014,1,4,0
Start,1,15,5/15/2014,5/16/2014,1,5,0.22
Start,2,15,5/15/2014,5/16/2014,1,4,0
Start,3,15,5/15/2014,5/16/2014,1,5,0.22
Start,1,18,5/15/2014,5/16/2014,1,11,1.01
Start,2,18,5/15/2014,5/16/2014,1,8,0.69
Start,3,18,5/15/2014,5/16/2014,1,10,0.92
Start,1,21,5/15/2014,5/16/2014,1,9,0.81
Start,2,21,5/15/2014,5/16/2014,1,14,1.25
Start,3,21,5/15/2014,5/16/2014,1,12,1.1
Start,1,24,5/15/2014,5/16/2014,1,22,1.7
Start,2,24,5/15/2014,5/16/2014,1,14,1.25
Start,3,24,5/15/2014,5/16/2014,1,24,1.79
Start,1,26,5/15/2014,5/16/2014,1,15,1.32
Start,2,26,5/15/2014,5/16/2014,1,27,1.91
Start,3,26,5/15/2014,5/16/2014,1,28,1.95
Start,1,28,5/15/2014,5/16/2014,1,32,2.08
Start,2,28,5/15/2014,5/16/2014,1,38,2.25
Start,3,28,5/15/2014,5/16/2014,1,49,2.51
Start,1,31,5/15/2014,5/16/2014,1,63,2.76
Start,2,31,5/15/2014,5/16/2014,1,86,3.07
Start,3,31,5/15/2014,5/16/2014,1,62,2.74
Start,1,33,5/15/2014,5/16/2014,1,56,2.64
Start,2,33,5/15/2014,5/16/2014,1,52,2.56
Start,3,33,5/15/2014,5/16/2014,1,46,2.44
Predator,1,12,,,0.85,1,-1.63
Predator,2,12,,,0.85,1,-1.63
Predator,3,12,,,0.85,1,-1.63
Predator,1,16,,,0.89,4,0
Predator,2,16,,,0.89,4,0
Predator,3,16,,,0.89,3,-0.32
Predator,1,20,,,0.93,10,0.98
Predator,2,20,,,0.93,9,0.87
Predator,3,20,,,0.93,8,0.74
Predator,1,24,,,0.92,13,1.29
Predator,2,24,,,0.92,12,1.2
Predator,3,24,,,0.92,11,1.1
Predator,1,27,,,0.91,23,1.93
Predator,2,27,,,0.91,25,2.02
Predator,3,27,,,0.91,24,1.98
Predator,1,30,,,0.9,41,2.6
Predator,2,30,,,0.9,27,2.13
Predator,3,30,,,0.9,39,2.54
Predator,1,33,,,0.88,30,2.3
Predator,2,33,,,0.88,31.5,2.36
Predator,3,33,,,0.88,47.5,2.83
Predator,1,36,,,0.86,7,0.65
Predator,2,36,,,0.86,6,0.47
Predator,3,36,,,0.86,9,0.94
Predator,1,40,,,0.85,0,
Predator,2,40,,,0.85,0,
Predator,3,40,,,0.85,0,
No predator,1,12,,,0.85,4,0
No predator,2,12,,,0.85,1,-1.63
No predator,3,12,,,0.85,4,0
No predator,1,16,,,0.89,4,0
No predator,2,16,,,0.89,5,0.25
No predator,3,16,,,0.89,4,0
No predator,1,20,,,0.93,10,0.98
No predator,2,20,,,0.93,9,0.87
No predator,3,20,,,0.93,5,0.24
No predator,1,24,,,0.92,14.5,1.4
No predator,2,24,,,0.92,9,0.88
No predator,3,24,,,0.92,12,1.2
No predator,1,27,,,0.91,27,2.11
No predator,2,27,,,0.91,27,2.11
No predator,3,27,,,0.91,12,1.21
No predator,1,30,,,0.9,27,2.13
No predator,2,30,,,0.9,28,2.17
No predator,3,30,,,0.9,33,2.36
No predator,1,33,,,0.88,51,2.91
No predator,2,33,,,0.88,44,2.74
No predator,3,33,,,0.88,27.5,2.2
No predator,1,36,,,0.86,5,0.26
No predator,2,36,,,0.86,4,0
No predator,3,36,,,0.86,5,0.26
No predator,1,40,,,0.85,0,
No predator,2,40,,,0.85,0,
No predator,3,40,,,0.85,0,
